       1          72.64160016          23.16879686        -160.48438434        -137.31558748
     101          72.64160016          23.16879686        -160.48438434        -137.31558748
     201          72.64160016          23.16879686        -160.48438434        -137.31558748
     301          72.64160016          23.16879686        -160.48438434        -137.31558748
     401          72.64160016          23.16879686        -160.48438434        -137.31558748
     501          72.64160016          23.16879686        -160.48438434        -137.31558748
     601          72.64160016          23.16879686        -160.48438434        -137.31558748
     701          72.64160016          23.16879686        -160.48438434        -137.31558748
     801          72.64160016          23.16879686        -160.48438434        -137.31558748
     901          72.64160016          23.16879686        -160.48438434        -137.31558748
    1001          72.64160016          23.16879686        -160.48438434        -137.31558748
    1101          72.64160016          23.16879686        -160.48438434        -137.31558748
    1201          72.64160016          23.16879686        -160.48438434        -137.31558748
    1301          72.64160016          23.16879686        -160.48438434        -137.31558748
    1401          72.64160016          23.16879686        -160.48438434        -137.31558748
    1501          72.64160016          23.16879686        -160.48438434        -137.31558748
    1601          72.64160016          23.16879686        -160.48438434        -137.31558748
    1701          72.64160016          23.16879686        -160.48438434        -137.31558748
    1801          72.64160016          23.16879686        -160.48438434        -137.31558748
    1901          72.64160016          23.16879686        -160.48438434        -137.31558748
    2001          72.64160016          23.16879686        -160.48438434        -137.31558748
    2101          72.64160016          23.16879686        -160.48438434        -137.31558748
    2201          72.64160016          23.16879686        -160.48438434        -137.31558748
    2301          72.64160016          23.16879686        -160.48438434        -137.31558748
    2401          72.64160016          23.16879686        -160.48438434        -137.31558748
    2501          72.64160016          23.16879686        -160.48438434        -137.31558748
    2601          72.64160016          23.16879686        -160.48438434        -137.31558748
    2701          72.64160016          23.16879686        -160.48438434        -137.31558748
    2801          72.64160016          23.16879686        -160.48438434        -137.31558748
    2901          72.64160016          23.16879686        -160.48438434        -137.31558748
    3001          72.64160016          23.16879686        -160.48438434        -137.31558748
    3101          72.64160016          23.16879686        -160.48438434        -137.31558748
    3201          72.64160016          23.16879686        -160.48438434        -137.31558748
    3301          72.64160016          23.16879686        -160.48438434        -137.31558748
    3401          72.64160016          23.16879686        -160.48438434        -137.31558748
    3501          72.64160016          23.16879686        -160.48438434        -137.31558748
    3601          72.64160016          23.16879686        -160.48438434        -137.31558748
    3701          72.64160016          23.16879686        -160.48438434        -137.31558748
    3801          72.64160016          23.16879686        -160.48438434        -137.31558748
    3901          72.64160016          23.16879686        -160.48438434        -137.31558748
    4001          72.64160016          23.16879686        -160.48438434        -137.31558748
    4101          72.64160016          23.16879686        -160.48438434        -137.31558748
    4201          72.64160016          23.16879686        -160.48438434        -137.31558748
    4301          72.64160016          23.16879686        -160.48438434        -137.31558748
    4401          72.64160016          23.16879686        -160.48438434        -137.31558748
    4501          72.64160016          23.16879686        -160.48438434        -137.31558748
    4601          72.64160016          23.16879686        -160.48438434        -137.31558748
    4701          72.64160016          23.16879686        -160.48438434        -137.31558748
    4801          72.64160016          23.16879686        -160.48438434        -137.31558748
    4901          72.64160016          23.16879686        -160.48438434        -137.31558748
    5001          72.64160016          23.16879686        -160.48438434        -137.31558748
    5101          72.64160016          23.16879686        -160.48438434        -137.31558748
    5201          72.64160016          23.16879686        -160.48438434        -137.31558748
    5301          72.64160016          23.16879686        -160.48438434        -137.31558748
    5401          72.64160016          23.16879686        -160.48438434        -137.31558748
    5501          72.64160016          23.16879686        -160.48438434        -137.31558748
    5601          72.64160016          23.16879686        -160.48438434        -137.31558748
    5701          72.64160016          23.16879686        -160.48438434        -137.31558748
    5801          72.64160016          23.16879686        -160.48438434        -137.31558748
    5901          72.64160016          23.16879686        -160.48438434        -137.31558748
    6001          72.64160016          23.16879686        -160.48438434        -137.31558748
    6101          72.64160016          23.16879686        -160.48438434        -137.31558748
    6201          72.64160016          23.16879686        -160.48438434        -137.31558748
    6301          72.64160016          23.16879686        -160.48438434        -137.31558748
    6401          72.64160016          23.16879686        -160.48438434        -137.31558748
    6501          72.64160016          23.16879686        -160.48438434        -137.31558748
    6601          72.64160016          23.16879686        -160.48438434        -137.31558748
    6701          72.64160016          23.16879686        -160.48438434        -137.31558748
    6801          72.64160016          23.16879686        -160.48438434        -137.31558748
    6901          72.64160016          23.16879686        -160.48438434        -137.31558748
    7001          72.64160016          23.16879686        -160.48438434        -137.31558748
    7101          72.64160016          23.16879686        -160.48438434        -137.31558748
    7201          72.64160016          23.16879686        -160.48438434        -137.31558748
    7301          72.64160016          23.16879686        -160.48438434        -137.31558748
    7401          72.64160016          23.16879686        -160.48438434        -137.31558748
    7501          72.64160016          23.16879686        -160.48438434        -137.31558748
    7601          72.64160016          23.16879686        -160.48438434        -137.31558748
    7701          72.64160016          23.16879686        -160.48438434        -137.31558748
    7801          72.64160016          23.16879686        -160.48438434        -137.31558748
    7901          72.64160016          23.16879686        -160.48438434        -137.31558748
    8001          72.64160016          23.16879686        -160.48438434        -137.31558748
    8101          72.64160016          23.16879686        -160.48438434        -137.31558748
    8201          72.64160016          23.16879686        -160.48438434        -137.31558748
    8301          72.64160016          23.16879686        -160.48438434        -137.31558748
    8401          72.64160016          23.16879686        -160.48438434        -137.31558748
    8501          72.64160016          23.16879686        -160.48438434        -137.31558748
    8601          72.64160016          23.16879686        -160.48438434        -137.31558748
    8701          72.64160016          23.16879686        -160.48438434        -137.31558748
    8801          72.64160016          23.16879686        -160.48438434        -137.31558748
    8901          72.64160016          23.16879686        -160.48438434        -137.31558748
    9001          72.64160016          23.16879686        -160.48438434        -137.31558748
    9101          72.64160016          23.16879686        -160.48438434        -137.31558748
    9201          72.64160016          23.16879686        -160.48438434        -137.31558748
